1 33 88 188     2158BC
2 49 109 197    316dc5
3 50 124 187    327cbb
4 75 128 160    4b80a0
5 86 143 150    568f96
6 109 146 152   6d9298
7 105 140 134   698c86
8 117 158 114   759e72
9 123 166 84    7ba654
10 125 174 56   7dae38
11 149 182 69   95b645
12 148 182 96   94b660
13 165 188 118  a5bc76
14 170 184 109  aab86d
15 173 181 95   adb55f
16 168 169 101  a8a965
17 174 159 92   ae9f5c
18 179 160 83   b3a053
19 175 138 68   af8a44
20 164 105 5    a46905
21 161 77 4     a14d04
